page,code,title,blurb,href
8,54442,Motor Pool Worker II,"A Motor Pool Worker II assigns motor pool vehicles to departmental personnel and oversees the inspection and maintenance of vehicles for cleanliness and proper operating condition. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a rotating shift which includes evening, night, weekend and holiday hours.  Work is performed in a motor pool and in vehicles on the street where fumes and traffic hazards are occasionally encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of Motor...",/careers/baltimorecity/classspecs/791393
8,41301,Fire Dispatch Supervisor Training and Quality Assurance,"A Fire Dispatch Supervisor Training and Quality Assurance will train staff on Professional Telecommunicator Training Programs and conduct continuing education and quality assurance. This class is responsible for improving firefighter safety, implementing additional CAD functionality, making better use of auto vehicle locator (AVL) dispatch,  assisting in managing a two-tier EMS system, and interfacing efficiently with 911 and Police Dispatch. Work of this class involves supervising fire dispatch personnel performing radio communications work. Incumbents receive general supervision from a technical superior. Employees in this class work a rotating shift including nights, weekends and...",/careers/baltimorecity/classspecs/1191549
9,41301,Fire Dispatch Supervisor Training and Quality Assurance,"A Fire Dispatch Supervisor Training and Quality Assurance will train staff on Professional Telecommunicator Training Programs and conduct continuing education and quality assurance. This class is responsible for improving firefighter safety, implementing additional CAD functionality, making better use of auto vehicle locator (AVL) dispatch,  assisting in managing a two-tier EMS system, and interfacing efficiently with 911 and Police Dispatch. Work of this class involves supervising fire dispatch personnel performing radio communications work. Incumbents receive general supervision from a technical superior. Employees in this class work a rotating shift including nights, weekends and...",/careers/baltimorecity/classspecs/1191549
9,53231,Public Building Maintenance Coordinator,"A Public Building Maintenance Coordinator oversees the maintenance and operation of assigned public buildings. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek; some evening, weekend and holiday hours may be required for emergencies. Work is performed in various locations inside and outside of the building where incumbents may be exposed to extremes of heat or cold, dust, noise and inclement weather. Work requires moderate physical exertion including some lifting, climbing, bending, stretching and stooping. DISTINGUISHING FEATURES OF THE WORK Not...",/careers/baltimorecity/classspecs/791528
9,53690,Dock Master,A Dock Master coordinates dock-based activities in the Inner Harbor and resolves problems and complaints of the boating public. Work of this class involves supervising laborers. Incumbents receive general supervision from an administrative superior. Employees in this class work five days per week including Saturday and Sunday. Work is performed in the Dock Master's office where there are few uncomfortable conditions. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791081
9,42996,Vehicle Identification Inspector,A Vehicle Identification Inspector physically inspects impounded vehicles for positive identification. The work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class may be required to work weekends and holidays. Work is performed outdoors where incumbents are exposed to inclement weather and dust. Work requires moderate physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791760
9,71130,Crime Laboratory Technician I,"A Crime Laboratory Technician I learns to perform specialized crime laboratory work such as evidence detection, criminalistics, firearms, latent print examination or crime laboratory and crime scene photography. The work of this class involves no supervisory duties or responsibilities. Incumbents receive close supervision from a technical superior. Employees in this class work on a shift basis. Work is performed at crime locations where such conditions as the seasonal extremes of weather, dangerous City districts and violent or hostile individuals are encountered. Work requires moderate physical exertion necessary to lift and move large and heavy materials and objects from crime sites; may...",/careers/baltimorecity/classspecs/791027
9,33635,Retirement Benefits Analyst Supervisor,"A Retirement Benefits Analyst Supervisor oversees the work of providing retirement plan assistance to City employees, participates in retirement administration and performs special retirement system projects. Work of this class involves supervising retirement benefits analysts and medical claims processing personnel. Incumbents receive general supervision from an administrative superior. Employees in this class work a conventional workweek. Work is performed in an office where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of Retirement Benefits Manager in...",/careers/baltimorecity/classspecs/791587
9,34540,Crime Statistics Analyst,"The Crime Statistics Analyst compiles, calculates, validates, reviews and interprets crime data. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office or at data collections sites. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791031
9,71132,Forensic Scientist II,"A Forensic Scientist II conducts complex level of work in chemical, biological, physical or comparative analysis of criminal evidence in the Forensic Lab of unknown substances and evidence involved in crimes.  Employees perform laboratory tests or comparative analyses in one of the specialized forensic discipline:  Firearms and toolmarking; Controlled Dangerous Substances; Toxicology, Serology, DNA, Trace Evidence or Latent Print Examination. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical supervisor. Employees in this class work a rotating shift and are on-call 24 hours a day, seven days a week.  Work is...",/careers/baltimorecity/classspecs/1126477
9,52723,Avionics Technician/Airframe & Powerplant Mechanic,"An Avionics Technician/Airframe & Powerplant Mechanic performs scheduled and unscheduled avionics maintenance on helicopters and associated aircraft ground support equipment, in accordance with manufacturer's specifications and Federal Aviation Administration's regulations.  Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from an administrative superior. Employees in this class work a conventional workweek and are subject to callback. Work is performed outside in all weather conditions and in a hangar where incumbents are exposed to noise, equipment with moving parts, chemicals and caustic substances and materials, and requires...",/careers/baltimorecity/classspecs/790885
9,34142,Accountant II,"An Accountant II performs such lead work as assigning, reviewing and approving the work of accounting personnel or performs specialized accounting work. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where working conditions are normal. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of Accountant I in that it involves developing and monitoring accounting systems for third party programs, preparing detailed financial reports, conferring with...",/careers/baltimorecity/classspecs/790804
10,82196,Crossing Guard Supervisor II,"A Crossing Guard Supervisor II coordinates and directs personnel, site selection, scheduling, investigations and record management for the crossing guard operations of several sectors through subordinate supervisors. The work of this class involves directing the activities of office support and crossing guard work units. Incumbents receive general supervision from an administrative superior. Employees in this class work a conventional workweek, subject to evening, weekend and holiday hours as required. Work is performed in an office where there is no exposure to hazardous working or uncomfortable environmental conditions. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF...",/careers/baltimorecity/classspecs/791041
10,71118,Criminalist III Drug Analysis,"A Criminalist III Drug Analysis assigns, reviews and coordinates the work of criminalists in the chemical and physical laboratory analysis of drugs, unknown substances and evidence involved in crimes. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work a rotating shift and are on call 24 hours a day, seven days a week. Work is performed in a laboratory where there is exposure to toxic fumes and chemicals, unknown dangerous substances and sharp laboratory instruments. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is...",/careers/baltimorecity/classspecs/791035
10,71111,Forensic Scientist I,"A Forensic Scientist I is the entry level of work in the chemical, biological, physical, or comparative analysis of criminal evidence in the Forensic Lab that conducts chemical and physical laboratory tests of unknown substances and evidence involved in crimes.  Work of this class involves no supervisory duties or responsibilities. Incumbents receive close supervision from a Forensic Scientist Supervisor. Employees in this class work a rotating shift and are on call 24 hours a day, seven days a week.  Work is performed in a laboratory where there is exposure to toxic fumes and chemicals, unknown dangerous substances and sharp laboratory instruments.  Work requires minimal physical exertion....",/careers/baltimorecity/classspecs/791032
10,52553,Offset Press Operator II,An Offset Press Operator II produces multiple copies of high-register multi-color printed material or may assign and review the work of others. The work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in a print shop where there is regular exposure to environmental hazards such as high noise levels or heat from the printing presses. Work requires standing for long periods of time and lifting heavy packs of paper. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of Offset Press Operator I...,/careers/baltimorecity/classspecs/791423
10,41274,"Fire Emergency Boat Operator, ALS","A Fire Emergency Boat Operator, ALS, navigates and operates a fire/rescue patrol boat as directed by the Baltimore City Fire Department and USCG regulations in the Baltimore City Harbor and surrounding waterways to extinguish fires and rescue victims. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work rotating shifts. Work is performed on a fire/rescue boat where there is exposure to inclement weather, unsafe boating conditions, dangerous fires and resultant noxious chemical vapor releases. Work requires moderate physical exertion such as climbing, lifting and stooping....",/careers/baltimorecity/classspecs/791180
10,71136,Forensic Scientist Supervisor,"A Forensic Scientist Supervisor supervises subordinate staff engaged in the analyses of a variety of laboratory tests and comparative analyses in such specialized forensic discipline as controlled dangerous substances, toxicology, serology, DNA, trace evidence, firearms and toolmark, questioned documents or latent print examination.  Work of this class involves supervising the activities of Forensic Scientists personnel. Incumbents receive general supervision from a technical supervisor.  Employees in this class work a rotating shift and are on call 24 hours a day, seven days a week.  Work is performed in a laboratory where there is exposure to toxic fumes and chemicals, unknown dangerous...",/careers/baltimorecity/classspecs/1126912
10,41262,"Marine Pilot, ALS","A Marine Pilot, ALS operates and navigates a large fire patrol boat in Baltimore City Harbor and surrounding waterways to extinguish fires and rescue victims as directed by the Baltimore City Fire Department and USCG regulations. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from an administrative superior. Employees in this class work rotating shifts. Work is performed on a fire boat where there is exposure to inclement weather, unsafe boating conditions, dangerous fires and resultant noxious chemical vapor releases. Work requires moderate physical exertion such as climbing, lifting and stooping. DISTINGUISHING FEATURES OF THE...",/careers/baltimorecity/classspecs/1167419
10,41263,Marine Pilot,"A Marine Pilot operates and navigates a large fire patrol boat in Baltimore City Harbor and surrounding waterways to extinguish fires and rescue victims as directed by the Baltimore City Fire Department and USCG regulations. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from an administrative superior. Employees in this class work rotating shifts. Work is performed on a fire boat where there is exposure to inclement weather, unsafe boating conditions, dangerous fires and resultant noxious chemical vapor releases. Work requires moderate physical exertion such as climbing, lifting and stooping. DISTINGUISHING FEATURES OF THE WORK...",/careers/baltimorecity/classspecs/791356
10,41264,Fire Emergency Boat Operator,"A Fire Emergency Boat Operator navigates and operates a fire/ rescue patrol boat as directed by the Baltimore City Fire Department and USCG regulations in the Baltimore City Harbor and surrounding waterways to extinguish fires and rescue victims. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work rotating shifts. Work is performed on a fire/rescue boat where there is exposure to inclement weather, unsafe boating conditions, dangerous fires and resultant noxious chemical vapor releases. Work requires moderate physical exertion such as climbing, lifting and stooping....",/careers/baltimorecity/classspecs/791179
10,71139,Forensic Scientist IV,"A Forensic Scientist IV plans, develops and implements a forensic laboratory quality assurance and occupational safety program and performs advanced/complex level work in the chemical, biological, physical or comparative analysis of criminal evidence in the Forensic Laboratory of Police Department.  Work of this class involves leading lower level Forensic Scientist by assigning, reviewing and coordinating the work of Forensic Scientists, but does not involve full supervisory duties or responsibilities. Incumbents receive general supervision from an administrative supervisor.  Employees in this class work a conventional workweek, subject to callback in event of emergency.  Work is performed...",/careers/baltimorecity/classspecs/791026
11,71133,Forensic Scientist III,"A Forensic Scientist III performs complex chemical, biological, physical or comparative analysis of criminal evident in the Forensic Lab of the Police Department. Employees perform laboratory tests or comparative analyses in one of the specialized forensic discipline:  Firearms and toolmarking; Controlled Dangerous Substances; Toxicology, Serology, DNA, Trace Evidence or Latent Print Examination.  Work of this class may involve leading lower level Forensic Scientists, but does not involve full supervisor duties or responsibilities. Incumbents receive general supervision from a technical supervisor.  Employees in this class work a rotating shift and are on call 24 hours a day, seven days a...",/careers/baltimorecity/classspecs/1126480
11,31993,Traffic Safety Coordinator,"A Traffic Safety Coordinator develops, administers and coordinates the Traffic Safety Program for Baltimore City. Work of this class may involve supervising traffic safety personnel. Incumbents receive general supervision from an administrative superior. Employees in this class are subject to attendance at evenings or weekend meetings and 24-hour call back for emergencies. Work is usually performed in an office where there are no uncomfortable working conditions; however, incumbents are required to be present at various locations where there may be exposure to inclement weather, noise and traffic. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791717
11,71121,Crime Laboratory Photographer,"A Crime Laboratory Photographer photographs evidence and documents and analyzes photographic material used in criminal proceedings. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in a laboratory and studio setting where such conditions as hot lights, noxious odors, extended periods of darkness and chemicals are encountered. Work requires moderate physical exertion necessary to move and position heavy and bulky photographic equipment and props. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791024
11,84241,Paralegal,"A Paralegal performs a variety of legal duties related to assisting Attorneys in various aspects of legal work including researching, interpreting and applying laws, investigating facts and preparing complex legal documents for filing in court. The work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek that may include evenings and weekends. Work is performed mainly in an office where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791432
11,81385,Ombudsman,"An Ombudsman receives, investigates and resolves complaints from, or on behalf of residents of public housing in the City of Baltimore. The work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from an administrative superior. Employees in this class work a conventional workweek that may include occasional evening work. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/1010525
11,33631,Retirement Benefits Analyst I,"A Retirement Benefit Analyst I provides a full range of retirement plan assistance such as benefits counseling, determining benefits eligibility and calculating benefits to City employees. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of Retirement Benefits Analyst II in that it does not perform complex retirement plan benefits...",/careers/baltimorecity/classspecs/791585
11,71117,Forensic Artist,"A Forensic Artist interviews witnesses and victims of crimes, gathers information about the appearance of a suspect, and draws a sketch to match that description which is used in criminal investigations. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek, subject to callback in the event of an emergency. Work is performed in a laboratory and studio setting where such conditions as hot lights, noxious odors, extended periods of darkness and chemicals are encountered. Work requires moderate physical exertion necessary to move and position laboratory...",/careers/baltimorecity/classspecs/791211
11,33632,Retirement Benefits Analyst II,"A Retirement Benefits Analyst II provides complex retirement plan assistance to City employees involving benefits counseling, determining benefits eligibility and calculating benefits of City employees. Work of this class involves no supervisory duties or responsibilities. Incumbents receive minimal supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where working conditions are normal. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of Retirement Benefits Analyst I in that it involves performing a wide range of complex retirement...",/careers/baltimorecity/classspecs/791586
11,81380,Information and Referral Worker,An Information and Referral Worker responds to requests for and provides information and referral assistance regarding available community and health care resources. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where there is no exposure to environmental hazards. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791278
11,81423,"Liaison Officer, Safe Streets","A Liaison Officer, Safe Streets, acts as a liaison between the  Operation Safe Streets Program and community groups to promote and coordinate anti-violence youth and community outreach, educational and consensus-building projects and strategies. Work of this class involves directing the activities of youth development staff work units. Incumbents receive general supervision from a technical superior. Employees in this class work a con­ven­tional workweek that may involve evening and weekend hours. Work is performed primarily in an office and in community settings and includes some exposure to violence and dangerous situations in high-risk communities. Work requires minimal physical exertion....",/careers/baltimorecity/classspecs/791321
12,72641,Survey Computation Analyst,"A Survey Computation Analyst assigns and reviews the work of technicians interpreting field survey data and performs surveying computation for the establishment of property lines, topographic surveys, subdivision of land and widening of streets. A Survey Computation Analyst also assigns and reviews the work of field survey crews engaged in gathering survey data for the establishment of property lines and the preparation of maps, plats, deeds, surveys, condemnations and other plans. Work of this class involves no supervisory responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed indoors and...",/careers/baltimorecity/classspecs/791674
12,33205,Liquor Board Assistant Executive Secretary,"A Liquor Board Assistant Executive Secretary performs a wide range of secretarial, administrative and office support work for the Board of Liquor License Commissioners for Baltimore City. Work of this class involves supervising office support personnel. Incumbents receive general supervision from an administrative superior. Employees in this class work a conventional workweek. Work is performed in an office where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791331
12,41284,Fire Respiratory Apparatus Officer,"A Fire Respiratory Apparatus Officer ensures the maintenance, repair, testing and calibration of a wide variety of respiratory apparatus and equipment in compliance with National Fire Safety Regulations and Standards and related governmental and professional standards. Work in this class involves supervising the work of subordinate uniformed fire personnel. The incumbent receives general supervision from a superior officer. The employee in this class works a conventional workweek and is subject to 24-hour callback. Work is performed in an office where there are normal working conditions and occasionally at the scene of fire and emergency medical incidents where there may be exposure to heat,...",/careers/baltimorecity/classspecs/791202
12,33636,Retirement Benefits Manager,"A Retirement Benefits Manager plans, directs and coordinates the activities and operations of the retirement benefits section of the Employees’ Retirement Systems. Work of this class involves directing the activities of retirement benefits and medical claims processing work units. Incumbents receive general supervision from an administrative superior. Employees in this class work a conventional workweek. Work is performed in an office where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of Retirement Benefits Analyst Supervisor in that it oversees, directs...",/careers/baltimorecity/classspecs/791588
12,33202,Liquor Board Office Assistant II,A Liquor Board Office Assistant II performs a wide variety of office support work in the Board of Liquor License Commissioners for Baltimore City. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from an administrative superior. Employees in this class work a conventional workweek. Work is performed in an office where normal working conditions are encountered. Work requires minimal physical exertion but may involve lifting heavy packs and stacks of mail and other materials. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791337
12,81387,Long-Term Care Ombudsman,"A Long-Term Care Ombudsman receives, investigates and seeks to resolve complaints from, or on behalf of, residents of long-term care facilities and domiciles in the City of Baltimore. The work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from an administrative superior. Employees in this class work a conventional workweek that may include occasional evening work. Work is performed both in an office and on-site in long-term care facilities where normal working conditions are en­countered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791342
12,81389,Long-Term Care Ombudsman Supervisor,"A Long-Term Care Ombudsman Supervisor plans and coordinates the activities of a program for the receipt, investigation and resolution of complaints from, or on behalf of, elderly or disabled adult residents of long-term care or assisted living facilities in the City of Baltimore. The work of this class involves supervising long-term care ombudsman personnel. Incumbents receive moderate supervision from an administrative superior. Employees in this class work a conventional workweek that may include occasional evening work. Work is performed both in an office and on-site in long-term care or assisted living facilities where normal working conditions are en­countered. Work requires minimal...",/careers/baltimorecity/classspecs/791343
